Car Id,Tramo Id,UTM Index,REAL Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
21,0,1,7,4589,0.0,start,5837931,447929,-70,-96,-1.0,0,61,13496,287
,,,118,,22.5,,,,,,,122,2075,11592
,,,119,,22.5,,,,,,,122,2088,11579
,,,120,,22.5,,,,,,,123,2101,11566
,,,121,,22.5,,,,,,,124,2114,11553
,,,122,,22.5,,,,,,,124,2126,11541
,,,123,,22.5,,,,,,,125,2143,11523
,,,124,,22.5,,,,,,,125,2154,11512
,,,125,,22.5,,,,,,,126,2165,11502
,,,126,,22.5,,,,,,,126,2176,11491
,,,127,,22.5,,,,,,,127,2186,11481
,,,128,,22.5,,,,,,,127,2197,11470
,,,129,,22.5,,,,,,,128,2216,11451
,,,130,,22.5,,,,,,,129,2229,11438
,,,131,,22.5,,,,,,,130,2260,11406
,,,132,,22.5,,,,,,,131,2281,11386
,,,133,,22.5,,,,,,,132,2301,11365
,,,134,,22.5,,,,,,,132,2312,11355
,,,135,,22.5,,,,,,,133,2322,11344
,,,136,,22.5,,,,,,,134,2345,11322
,,,137,,22.5,,,,,,,134,2356,11310
,,,138,,22.5,,,,,,,135,2369,11298
21,0,171,139,4725,33.6,running,5837740,447087,-261,-939,22.5,136,2381,11176,6
,,,140,,24.6,,,,,,,136,2392,11275
,,,141,,24.6,,,,,,,136,2404,11262
,,,142,,24.6,,,,,,,137,2417,11249
,,,143,,24.6,,,,,,,137,2429,11237
,,,144,,24.6,,,,,,,138,2442,11224
,,,145,,24.6,,,,,,,139,2455,11212
,,,146,,24.6,,,,,,,139,2467,11200
,,,147,,24.6,,,,,,,139,2479,11188
,,,148,,24.6,,,,,,,140,2487,11180
,,,149,,24.6,,,,,,,140,2497,11169
,,,150,,24.6,,,,,,,141,2508,11159
,,,151,,24.6,,,,,,,142,2532,11135
,,,152,,24.6,,,,,,,142,2545,11121
,,,153,,24.6,,,,,,,143,2558,11109
,,,154,,24.6,,,,,,,143,2574,11092
,,,155,,24.6,,,,,,,144,2591,11076
,,,156,,24.6,,,,,,,145,2610,11057
,,,157,,24.6,,,,,,,145,2626,11041
,,,158,,24.6,,,,,,,146,2646,11021
,,,159,,24.6,,,,,,,147,2658,11008
,,,160,,24.6,,,,,,,147,2674,10993
,,,161,,24.6,,,,,,,148,2690,10976
,,,162,,24.6,,,,,,,149,2708,10959
,,,163,,24.6,,,,,,,149,2719,10948
,,,164,,24.6,,,,,,,150,2736,10931
,,,165,,24.6,,,,,,,151,2758,10908
,,,166,,24.6,,,,,,,151,2769,10898
,,,167,,24.6,,,,,,,152,2788,10879
,,,168,,24.6,,,,,,,153,2806,10860
,,,169,,24.6,,,,,,,154,2833,10834
,,,170,,24.6,,,,,,,155,2853,10814
,,,171,,24.6,,,,,,,155,2863,10804
,,,172,,24.6,,,,,,,155,2874,10793
,,,173,,24.6,,,,,,,156,2885,10782
,,,174,,24.6,,,,,,,156,2895,10772
,,,175,,24.6,,,,,,,157,2906,10761
,,,176,,24.6,,,,,,,157,2917,10750
,,,177,,24.6,,,,,,,158,2927,10739
,,,178,,24.6,,,,,,,159,2950,10717
,,,179,,24.6,,,,,,,159,2962,10704
21,0,213,180,4749,35.0,running,5837837,446716,-164,-1310,24.6,160,2973,10584,2
,,,181,,27.4,,,,,,,160,2983,10684
,,,182,,27.4,,,,,,,161,3002,10664
,,,183,,27.4,,,,,,,161,3022,10645
,,,184,,27.4,,,,,,,162,3041,10626
,,,185,,27.4,,,,,,,163,3057,10609
,,,186,,27.4,,,,,,,163,3069,10598
,,,187,,27.4,,,,,,,163,3074,10593
,,,188,,27.4,,,,,,,164,3084,10582
,,,189,,27.4,,,,,,,164,3097,10569
,,,190,,27.4,,,,,,,165,3114,10553
,,,191,,27.4,,,,,,,165,3132,10535
,,,192,,27.4,,,,,,,166,3151,10515
,,,193,,27.4,,,,,,,166,3161,10505
,,,194,,27.4,,,,,,,167,3172,10495
,,,195,,27.4,,,,,,,167,3183,10483
,,,196,,27.4,,,,,,,168,3194,10473
,,,197,,27.4,,,,,,,168,3204,10463
,,,198,,27.4,,,,,,,169,3223,10444
,,,199,,27.4,,,,,,,169,3243,10424
,,,200,,27.4,,,,,,,170,3259,10408
,,,201,,27.4,,,,,,,170,3270,10397
,,,202,,27.4,,,,,,,171,3281,10385
,,,203,,27.4,,,,,,,171,3293,10374
,,,204,,27.4,,,,,,,172,3305,10362
,,,205,,27.4,,,,,,,172,3317,10350
,,,206,,27.4,,,,,,,172,3329,10338
,,,207,,27.4,,,,,,,173,3340,10327
,,,208,,27.4,,,,,,,173,3350,10316
,,,209,,27.4,,,,,,,174,3361,10306
,,,210,,27.4,,,,,,,174,3372,10294
,,,211,,27.4,,,,,,,174,3384,10283
,,,212,,27.4,,,,,,,175,3388,10278
,,,213,,27.4,,,,,,,175,3412,10255
,,,214,,27.4,,,,,,,176,3425,10241
,,,215,,27.4,,,,,,,176,3438,10229
,,,216,,27.4,,,,,,,177,3455,10212
,,,217,,27.4,,,,,,,178,3479,10188
,,,218,,27.4,,,,,,,179,3499,10168
,,,219,,27.4,,,,,,,179,3511,10156
21,0,256,220,4769,29.2,running,5838182,446632,181,-1393,27.4,180,3523,10034,4
,,,221,,29.9,,,,,,,180,3535,10131
,,,222,,29.9,,,,,,,180,3547,10119
,,,223,,29.9,,,,,,,181,3559,10107
,,,224,,29.9,,,,,,,181,3572,10095
,,,225,,29.9,,,,,,,182,3584,10083
,,,226,,29.9,,,,,,,182,3596,10071
,,,227,,29.9,,,,,,,182,3607,10060
,,,228,,29.9,,,,,,,183,3617,10049
,,,229,,29.9,,,,,,,183,3629,10038
,,,230,,29.9,,,,,,,183,3640,10027
,,,231,,29.9,,,,,,,184,3651,10015
,,,232,,29.9,,,,,,,184,3663,10003
,,,233,,29.9,,,,,,,185,3674,9993
,,,234,,29.9,,,,,,,185,3685,9982
,,,235,,29.9,,,,,,,185,3696,9970
,,,236,,29.9,,,,,,,186,3708,9959
,,,237,,29.9,,,,,,,186,3717,9949
,,,238,,29.9,,,,,,,187,3737,9930
,,,239,,29.9,,,,,,,187,3747,9920
,,,240,,29.9,,,,,,,187,3758,9909
,,,241,,29.9,,,,,,,188,3769,9897
,,,242,,29.9,,,,,,,188,3781,9885
,,,243,,29.9,,,,,,,189,3793,9874
,,,244,,29.9,,,,,,,189,3806,9860
,,,245,,29.9,,,,,,,189,3818,9849
,,,246,,29.9,,,,,,,190,3830,9837
,,,247,,29.9,,,,,,,190,3842,9824
,,,248,,29.9,,,,,,,191,3854,9812
,,,249,,29.9,,,,,,,191,3866,9801
,,,250,,29.9,,,,,,,191,3878,9789
,,,251,,29.9,,,,,,,192,3889,9778
,,,252,,29.9,,,,,,,192,3903,9763
,,,253,,29.9,,,,,,,193,3914,9753
,,,254,,29.9,,,,,,,193,3933,9734
,,,255,,29.9,,,,,,,194,3951,9716
,,,256,,29.9,,,,,,,194,3968,9699
,,,257,,29.9,,,,,,,195,3984,9682
,,,258,,29.9,,,,,,,195,4001,9665
,,,259,,29.9,,,,,,,196,4015,9652
,,,260,,29.9,,,,,,,197,4036,9631
,,,261,,29.9,,,,,,,197,4047,9620
,,,262,,29.9,,,,,,,197,4057,9609
,,,263,,29.9,,,,,,,198,4068,9599
,,,264,,29.9,,,,,,,198,4078,9588
,,,265,,29.9,,,,,,,198,4089,9577
,,,266,,29.9,,,,,,,199,4100,9567
,,,267,,29.9,,,,,,,199,4111,9556
21,0,304,268,4789,31.6,running,5837663,446391,-338,-1634,29.9,200,4121,9436,1
,,,269,,23.8,,,,,,,200,4130,9537
,,,270,,23.8,,,,,,,201,4150,9517
,,,271,,23.8,,,,,,,201,4159,9507
,,,272,,23.8,,,,,,,202,4170,9496
,,,273,,23.8,,,,,,,202,4181,9486
,,,274,,23.8,,,,,,,202,4192,9475
,,,275,,23.8,,,,,,,203,4202,9465
,,,276,,23.8,,,,,,,204,4220,9447
,,,277,,23.8,,,,,,,204,4238,9429
,,,278,,23.8,,,,,,,205,4256,9410
,,,279,,23.8,,,,,,,206,4273,9394
,,,280,,23.8,,,,,,,207,4292,9375
,,,281,,23.8,,,,,,,208,4312,9355
,,,282,,23.8,,,,,,,208,4323,9344
,,,283,,23.8,,,,,,,208,4335,9332
,,,284,,23.8,,,,,,,209,4347,9319
,,,285,,23.8,,,,,,,209,4359,9308
,,,286,,23.8,,,,,,,210,4373,9294
,,,287,,23.8,,,,,,,211,4385,9282
,,,288,,23.8,,,,,,,211,4396,9271
,,,289,,23.8,,,,,,,211,4406,9261
,,,290,,23.8,,,,,,,212,4416,9250
,,,291,,23.8,,,,,,,213,4435,9232
,,,292,,23.8,,,,,,,213,4454,9213
,,,293,,23.8,,,,,,,215,4485,9182
,,,294,,23.8,,,,,,,215,4499,9167
,,,295,,23.8,,,,,,,216,4517,9150
,,,296,,23.8,,,,,,,217,4534,9132
,,,297,,23.8,,,,,,,218,4556,9111
,,,298,,23.8,,,,,,,218,4567,9099
,,,299,,23.8,,,,,,,219,4579,9087
,,,300,,23.8,,,,,,,219,4591,9076
,,,301,,23.8,,,,,,,221,4624,9042
,,,302,,23.8,,,,,,,221,4637,9029
,,,303,,23.8,,,,,,,222,4656,9011
,,,304,,23.8,,,,,,,223,4676,8991
,,,305,,23.8,,,,,,,224,4695,8971
,,,306,,23.8,,,,,,,224,4715,8952
,,,307,,23.8,,,,,,,225,4734,8933
,,,308,,23.8,,,,,,,226,4741,8926
,,,309,,23.8,,,,,,,226,4751,8916
,,,310,,23.8,,,,,,,227,4776,8891
,,,311,,23.8,,,,,,,227,4786,8881
,,,312,,23.8,,,,,,,228,4805,8861
,,,313,,23.8,,,,,,,229,4823,8843
,,,314,,23.8,,,,,,,230,4845,8821
,,,315,,23.8,,,,,,,230,4856,8810
,,,316,,23.8,,,,,,,231,4874,8793
,,,317,,23.8,,,,,,,232,4884,8783
,,,318,,23.8,,,,,,,232,4904,8762
,,,319,,23.8,,,,,,,233,4917,8749
,,,320,,23.8,,,,,,,233,4929,8738
,,,321,,23.8,,,,,,,234,4942,8725
,,,322,,23.8,,,,,,,235,4959,8708
,,,323,,23.8,,,,,,,235,4979,8688
,,,324,,23.8,,,,,,,236,4989,8677
,,,325,,23.8,,,,,,,236,5000,8666
,,,326,,23.8,,,,,,,237,5011,8655
,,,327,,23.8,,,,,,,237,5017,8649
,,,328,,23.8,,,,,,,238,5028,8639
,,,329,,23.8,,,,,,,238,5038,8628
,,,330,,23.8,,,,,,,239,5056,8611
21,0,368,331,4829,27.1,running,5837350,446265,-651,-1761,23.8,240,5074,8483,6
,,,332,,24.1,,,,,,,240,5095,8572
,,,333,,24.1,,,,,,,241,5115,8552
,,,334,,24.1,,,,,,,242,5138,8528
,,,335,,24.1,,,,,,,243,5149,8517
,,,336,,24.1,,,,,,,243,5161,8505
,,,337,,24.1,,,,,,,244,5172,8494
,,,338,,24.1,,,,,,,244,5183,8484
,,,339,,24.1,,,,,,,244,5193,8473
,,,340,,24.1,,,,,,,245,5213,8453
,,,341,,24.1,,,,,,,246,5233,8434
,,,342,,24.1,,,,,,,247,5253,8414
,,,343,,24.1,,,,,,,248,5283,8384
,,,344,,24.1,,,,,,,249,5294,8373
,,,345,,24.1,,,,,,,249,5304,8362
21,0,387,346,4839,21.7,running,5837543,446146,-458,-1880,24.1,250,5316,8241,4
,,,347,,27.4,,,,,,,250,5327,8340
,,,348,,27.4,,,,,,,250,5337,8330
,,,349,,27.4,,,,,,,251,5351,8316
,,,350,,27.4,,,,,,,251,5366,8300
,,,351,,27.4,,,,,,,252,5381,8285
,,,352,,27.4,,,,,,,252,5397,8270
,,,353,,27.4,,,,,,,253,5413,8254
,,,354,,27.4,,,,,,,254,5430,8236
,,,355,,27.4,,,,,,,254,5443,8223
,,,356,,27.4,,,,,,,255,5453,8213
,,,357,,27.4,,,,,,,255,5464,8203
,,,358,,27.4,,,,,,,255,5474,8192
,,,359,,27.4,,,,,,,256,5486,8181
,,,360,,27.4,,,,,,,256,5497,8170
,,,361,,27.4,,,,,,,257,5509,8158
,,,362,,27.4,,,,,,,257,5520,8147
,,,363,,27.4,,,,,,,257,5531,8136
,,,364,,27.4,,,,,,,258,5543,8124
,,,365,,27.4,,,,,,,258,5553,8113
,,,366,,27.4,,,,,,,259,5564,8102
,,,367,,27.4,,,,,,,259,5575,8091
,,,368,,27.4,,,,,,,259,5588,8078
,,,369,,27.4,,,,,,,260,5599,8067
,,,370,,27.4,,,,,,,260,5610,8056
,,,371,,27.4,,,,,,,261,5621,8045
,,,372,,27.4,,,,,,,261,5631,8035
,,,373,,27.4,,,,,,,261,5641,8025
,,,374,,27.4,,,,,,,262,5652,8015
,,,375,,27.4,,,,,,,262,5663,8004
,,,376,,27.4,,,,,,,263,5674,7992
