Car Id,Tramo Id,UTM Index,REAL Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
22,0,11,10,4378,0.0,start,5837933,447996,-68,-30,-1.0,0,102,13455,271
22,0,40,30,4398,27.3,running,5838169,447879,168,-146,24.0,20,584,12973,8
22,0,68,55,4418,21.6,running,5838145,447591,144,-434,22.3,40,1030,12527,4
22,0,97,72,4438,25.6,running,5838010,447748,8,-278,15.0,60,1330,12227,3
22,0,128,99,4458,22.8,running,5837938,447376,-63,-649,21.6,80,1763,11794,6
22,0,173,141,4487,35.0,running,5837720,447071,-281,-954,22.1,109,2404,11153,9
22,0,212,178,4511,33.4,running,5837826,446718,-175,-1307,22.7,133,2950,10607,1
22,0,253,217,4531,24.5,running,5838204,446661,203,-1364,26.4,153,3479,10078,5
22,0,335,298,4571,28.3,running,5837263,446380,-738,-1645,27.2,193,4567,8990,4
22,0,360,323,4591,22.1,running,5837286,446188,-715,-1838,20.5,213,4979,8578,9
22,0,393,354,4611,22.5,running,5837627,446147,-374,-1878,22.5,233,5430,8127,2
22,0,457,418,4638,42.1,running,5838363,446622,362,-1403,33.7,260,6342,7215,6
22,0,486,446,4662,25.4,running,5838473,446848,472,-1177,18.9,284,6797,6760,9
22,0,506,466,4682,22.5,running,5838867,447088,866,-937,25.3,304,7303,6254,3
22,0,537,490,4702,11.6,running,5839255,447082,1253,-944,21.6,324,7736,5821,5
22,0,578,527,4722,19.9,running,5838927,447396,926,-630,29.1,344,8318,5239,6
22,0,626,559,4742,34.5,running,5839229,447804,1227,-221,27.5,364,8870,4687,6
22,0,677,602,4762,21.4,running,5839775,447642,1774,-383,35.1,384,9572,3985,12
22,0,700,621,4771,38.5,running,5839839,447921,1838,-104,31.8,393,9859,3698,13
22,0,746,658,4795,27.7,running,5839678,448318,1676,292,25.9,417,10481,3076,3
22,0,780,683,4815,31.3,running,5839329,448437,1328,410,22.5,437,10932,2625,3
22,0,819,710,4835,24.5,running,5839123,448769,1121,742,22.3,457,11379,2178,2
22,0,878,758,4855,24.4,running,5839838,448661,1837,635,35.1,477,12083,1474,4
22,0,921,800,4875,51.7,running,5839427,448903,1425,877,33.0,497,12744,813,5
22,0,967,841,4895,21.0,running,5838814,449054,812,1028,31.5,517,13376,181,5
22,0,1028,888,4915,24.2,ended,5838197,449526,195,1500,40.0,537,14177,-619,4
