Car Id,Tramo Id,UTM Index,REAL Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
7,0,1,7,5073,0.0,start,5837931,447929,-70,-96,-1.0,0,61,13496,1748
7,0,378,339,5304,22.9,running,5837480,446242,-521,-1783,22.2,231,5193,8364,3
7,0,488,448,5362,32.4,running,5838526,446857,524,-1169,28.5,289,6851,6706,1
7,0,510,469,5382,26.1,running,5838908,447172,907,-853,25.9,309,7369,6188,5
7,0,621,554,5432,29.7,running,5839173,447820,1172,-205,28.8,359,8814,4743,1
7,0,653,578,5442,37.2,running,5839513,447606,1512,-419,38.8,369,9203,4355,3
7,0,678,603,5452,22.6,running,5839776,447653,1775,-372,39.8,379,9601,3956,11
7,0,831,716,5524,35.2,running,5839264,448771,1262,744,26.3,451,11499,2058,1
7,0,868,750,5534,39.8,running,5839705,448680,1704,653,45.0,461,11949,1608,2
7,0,910,791,5554,49.8,running,5839558,448843,1556,817,32.5,481,12600,957,7
7,0,949,825,5564,48.4,running,5839042,448994,1040,968,54.5,491,13145,412,5
7,0,1059,910,5614,25.8,ended,5837848,449587,-153,1561,29.4,541,14618,-1060,6
