9,1,185,6547,30.1,running,5836111,449695,-2089,1986,27.5,80,2330,20110,8
9,1,230,6567,41.3,running,5835759,449616,-2440,1907,29.3,100,2917,19523,5
9,1,255,6577,29.6,running,5835581,449853,-2618,2144,31.2,110,3229,19211,6
9,1,305,6597,25.9,running,5835260,449423,-2940,1714,32.7,130,3883,18557,2
9,1,343,6617,33.9,running,5835175,449229,-3024,1520,25.0,150,4385,18055,3
9,1,364,6629,30.7,running,5835222,449098,-2977,1389,24.1,162,4675,17765,4
9,1,414,6653,36.0,running,5835154,448714,-3046,1005,27.8,186,5343,17097,4
9,1,442,6663,39.1,running,5834977,448433,-3223,724,34.1,196,5685,16755,3
9,1,508,6683,49.9,running,5834194,448074,-4005,365,44.2,216,6570,15870,5
9,1,531,6693,26.1,running,5833916,447950,-4283,241,33.3,226,6903,15537,5
9,1,572,6713,21.9,running,5834313,447757,-3886,48,27.2,246,7448,14992,11
9,1,613,6733,37.7,running,5834367,447666,-3832,-42,25.9,266,7967,14473,35
9,1,638,6743,27.4,running,5834018,447570,-4182,-138,36.5,276,8332,14108,3
9,1,679,6763,31.4,running,5834419,447507,-3780,-200,31.0,296,8953,13487,9
9,1,705,6773,14.0,running,5834714,447412,-3485,-296,31.1,306,9265,13175,4
Car Id,Tramo Id,UTM Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
9,1,1,6467,0.0,start,5836366,448334,-1834,625,-1.0,0,0,22441,156
9,1,15,6477,33.6,running,5836268,448460,-1932,751,18.4,10,184,22257,3
9,1,87,6507,26.3,running,5836108,449109,-2091,1400,29.2,40,1060,21380,8
9,1,118,6517,45.8,running,5836424,449363,-1775,1654,40.9,50,1470,20970,7
9,1,164,6537,17.9,running,5836312,449855,-1887,2147,29.2,70,2055,20386,1
9,1,185,6547,30.1,running,5836111,449695,-2089,1986,27.5,80,2330,20110,8
9,1,230,6567,41.3,running,5835759,449616,-2440,1907,29.3,100,2917,19523,5
9,1,255,6577,29.6,running,5835581,449853,-2618,2144,31.2,110,3229,19211,6
9,1,305,6597,25.9,running,5835260,449423,-2940,1714,32.7,130,3883,18557,2
9,1,343,6617,33.9,running,5835175,449229,-3024,1520,25.0,150,4385,18055,3
9,1,364,6629,30.7,running,5835222,449098,-2977,1389,24.1,162,4675,17765,4
9,1,414,6653,36.0,running,5835154,448714,-3046,1005,27.8,186,5343,17097,4
9,1,442,6663,39.1,running,5834977,448433,-3223,724,34.1,196,5685,16755,3
9,1,508,6683,49.9,running,5834194,448074,-4005,365,44.2,216,6570,15870,5
9,1,531,6693,26.1,running,5833916,447950,-4283,241,33.3,226,6903,15537,5
9,1,572,6713,21.9,running,5834313,447757,-3886,48,27.2,246,7448,14992,11
9,1,613,6733,37.7,running,5834367,447666,-3832,-42,25.9,266,7967,14473,35
9,1,638,6743,27.4,running,5834018,447570,-4182,-138,36.5,276,8332,14108,3
9,1,679,6763,31.4,running,5834419,447507,-3780,-200,31.0,296,8953,13487,9
