Car Id,Tramo Id,UTM Index,REAL Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
4,0,3,7,4837,0.0,start,5837924,447933,-77,-93,-1.0,0,61,13496,289
4,0,105,78,4917,25.7,running,5838017,447656,15,-370,17.1,80,1434,12123,2
4,0,194,162,4974,22.1,running,5837632,446834,-369,-1192,22.3,137,2708,10849,0
4,0,327,292,5034,31.0,running,5837379,446427,-622,-1599,29.0,197,4454,9103,4
4,0,373,335,5064,27.5,running,5837424,446269,-577,-1756,23.1,227,5149,8408,2
4,0,391,352,5074,18.2,running,5837600,446128,-401,-1898,24.7,237,5397,8160,1
4,0,458,419,5101,41.7,running,5838372,446632,370,-1394,35.4,264,6355,7202,5
4,0,545,500,5165,26.5,running,5839238,447175,1237,-850,24.5,328,7927,5630,8
4,0,947,823,5328,50.8,running,5839070,448988,1069,962,31.8,491,13116,441,5
4,0,1054,905,5378,20.2,ended,5837905,449616,-96,1589,28.6,541,14548,-990,6
