Car Id,Tramo Id,UTM Index,REAL Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
3,1,0,1668,6119,0.0,start,5836375,448342,-1626,316,-1.0,0,22450,-9,16
3,1,1,1668,6139,0.0,running,5836366,448334,-1635,307,0.0,20,22450,-9,8
3,1,3,1668,6230,12.9,running,5836342,448325,-1659,298,0.0,111,22450,-9,6
3,1,47,1668,6250,34.0,running,5836042,448727,-1959,700,0.0,131,22450,-9,6
3,1,71,1668,6260,37.6,running,5835980,448953,-2021,926,0.0,141,22450,-9,2
3,1,146,1668,6290,33.3,running,5836398,449663,-1603,1637,0.0,171,22450,-9,3
3,1,188,1668,6310,30.7,running,5836095,449663,-1906,1637,0.0,191,22450,-9,10
