Car Id,Tramo Id,UTM Index,REAL Index,Car Time,Speed,Status,Utm X,Utm Y,Norm X,Norm Y,Avg Speed,Track Time,Distance,Remaining Distance,Error
11,0,3,7,4967,0.0,start,5837924,447933,-77,-93,-1.0,0,61,13496,292
11,0,29,19,4987,9.4,running,5838169,448061,167,34,13.3,20,328,13229,17
11,0,43,31,4997,33.9,running,5838184,447831,183,-194,29.4,30,623,12935,6
11,0,74,59,5017,28.8,running,5838122,447654,120,-371,22.6,50,1075,12482,2
11,0,90,71,5027,9.5,running,5838004,447832,2,-193,20.2,60,1278,12279,7
11,0,117,89,5047,26.1,running,5837985,447511,-16,-514,17.0,80,1619,11938,4
11,0,144,115,5067,21.3,running,5838030,447230,29,-795,21.0,100,2040,11517,2
11,0,164,133,5077,26.0,running,5837795,447144,-206,-881,26.1,110,2301,11256,8
11,0,195,163,5094,21.0,running,5837634,446816,-367,-1210,24.5,127,2719,10838,2
11,0,215,182,5104,36.1,running,5837866,446711,-135,-1314,28.3,137,3002,10555,2
11,0,259,223,5124,33.4,running,5838158,446605,156,-1420,27.8,157,3559,9998,5
11,0,289,254,5134,23.5,running,5837834,446493,-167,-1532,37.3,167,3933,9624,6
11,0,328,292,5154,28.1,running,5837360,446428,-641,-1597,26.0,187,4454,9103,3
11,0,343,305,5164,24.7,running,5837216,446269,-785,-1756,24.1,197,4695,8862,9
11,0,374,336,5184,25.9,running,5837436,446267,-565,-1758,23.2,217,5161,8396,3
11,0,391,352,5194,18.9,running,5837600,446128,-401,-1898,23.5,227,5397,8160,7
11,0,446,405,5214,42.2,running,5838168,446436,166,-1590,33.7,247,6072,7485,3
11,0,481,442,5234,11.9,running,5838362,446836,360,-1190,31.0,267,6693,6864,6
11,0,487,447,5244,31.2,running,5838499,446851,498,-1174,13.0,277,6823,6734,10
11,0,509,468,5264,24.1,running,5838889,447156,887,-870,26.7,297,7358,6199,11
11,0,528,484,5274,33.5,running,5839170,447149,1168,-877,27.9,307,7638,5919,5
11,0,567,518,5294,35.9,running,5839031,447333,1030,-692,27.8,327,8196,5361,4
11,0,590,537,5304,36.0,running,5838981,447546,979,-479,27.8,337,8475,5083,13
11,0,651,577,5324,37.9,running,5839496,447619,1495,-406,35.8,357,9192,4365,9
11,0,677,602,5334,20.7,running,5839775,447642,1774,-383,38.0,367,9572,3985,8
11,0,728,644,5357,28.9,running,5839861,448243,1859,217,30.3,390,10269,3288,3
11,0,749,661,5367,26.3,running,5839641,448327,1640,301,24.7,400,10517,3040,6
11,0,787,688,5387,31.9,running,5839256,448475,1255,449,24.6,420,11011,2546,5
11,0,865,747,5417,49.8,running,5839669,448683,1667,657,30.0,450,11912,1645,3
11,0,883,767,5427,9.3,running,5839885,448667,1883,641,29.8,460,12210,1347,3
11,0,944,820,5447,51.1,running,5839113,448980,1112,954,43.1,480,13072,485,1
11,0,987,855,5467,45.5,running,5838558,449145,556,1119,28.8,500,13650,-92,6
11,0,1024,884,5477,35.4,ended,5838223,449485,221,1459,46.9,510,14120,-561,2
